decile,n,mean_predicted_probability,observed_miscoverage,min_predicted_probability,max_predicted_probability,calibration_gap,absolute_gap
1,3303,0.04223774965668784,0.06690887072358462,0.03303399552391689,0.04750335513443873,0.024671121066896777,0.024671121066896777
2,3302,0.05192643075639565,0.07177468201090248,0.04750789062547591,0.056278413900839645,0.01984825125450683,0.01984825125450683
3,3302,0.06082792296474033,0.07328891580860085,0.056285475946810895,0.06564881579037826,0.01246099284386052,0.01246099284386052
4,3303,0.07097872705716014,0.07296397214653345,0.06565309344790894,0.07662141238894343,0.001985245089373311,0.001985245089373311
5,3302,0.08303481386064178,0.07359176256814053,0.07662141238894343,0.08985303862104548,-0.009443051292501253,0.009443051292501253
6,3302,0.09755868154921939,0.08752271350696547,0.08986389445988137,0.10579922890758661,-0.010035968042253915,0.010035968042253915
7,3303,0.11536840793316597,0.10656978504389948,0.10579922890758661,0.12548708565423772,-0.008798622889266486,0.008798622889266486
8,3302,0.13700125265498933,0.11599030890369473,0.12548708565423772,0.14940061992714823,-0.0210109437512946,0.0210109437512946
9,3302,0.1640573500312145,0.128709872804361,0.14940061992714823,0.17949154992081678,-0.035347477226853496,0.035347477226853496
10,3303,0.1999460239710373,0.18558885861338179,0.17949154992081678,0.24346160480112367,-0.014357165357655521,0.014357165357655521
