signal,ticker,n_low,n_high,low_miscov,high_miscov,difference_miscov,low_abs_error,high_abs_error,difference_abs_error
M,AAPL,209,158,0.04784688995215311,0.17721518987341772,0.1293682999212646,0.008735904448117384,0.014154040182156356,0.005418135734038971
M,AMZN,189,174,0.06349206349206349,0.08620689655172414,0.022714833059660655,0.0137207891415226,0.014038135199782179,0.00031734605825957905
M,BA,184,144,0.07065217391304347,0.1736111111111111,0.10295893719806763,0.013606427013308232,0.01971703931040615,0.006110612297097919
M,BAC,212,137,0.0660377358490566,0.18248175182481752,0.11644401597576091,0.010414589854801409,0.014866166771302598,0.00445157691650119
M,CAT,189,138,0.08465608465608465,0.16666666666666666,0.082010582010582,0.013258458967245854,0.017342740507479887,0.004084281540234033
M,CVX,145,136,0.1103448275862069,0.1323529411764706,0.022008113590263695,0.010592693418936103,0.012175190585512988,0.0015824971665768846
M,DIS,211,129,0.061611374407582936,0.20155038759689922,0.13993901318931629,0.010073938586015645,0.017033188426428807,0.006959249840413162
M,GME,221,148,0.04072398190045249,0.1891891891891892,0.14846520728873672,0.02456615392401681,0.06003997497580797,0.03547382105179116
M,GOOGL,173,165,0.08092485549132948,0.11515151515151516,0.034226659660185677,0.012754821118913939,0.014337028261752297,0.0015822071428383579
M,GS,203,156,0.06896551724137931,0.11538461538461539,0.04641909814323608,0.011907728602523218,0.013589205053279336,0.0016814764507561177
M,JNJ,185,163,0.07027027027027027,0.17791411042944785,0.10764384015917758,0.007510983383541224,0.009737188739174658,0.0022262053556334344
M,JPM,166,172,0.08433734939759036,0.14534883720930233,0.06101148781171198,0.009812660128328057,0.01132858503967547,0.0015159249113474126
M,KO,170,140,0.11764705882352941,0.11428571428571428,-0.003361344537815128,0.008030625262569152,0.00735300746605257,-0.000677617796516582
M,MCD,154,154,0.09090909090909091,0.14935064935064934,0.05844155844155843,0.008574117844228077,0.00938494734177969,0.0008108294975516135
M,MSFT,152,165,0.11842105263157894,0.13333333333333333,0.01491228070175439,0.01030091391941591,0.013338750221918567,0.003037836302502657
M,NFLX,167,142,0.08383233532934131,0.1619718309859155,0.07813949565657419,0.013829545581450185,0.017379619137837282,0.003550073556387097
M,NVDA,216,161,0.05555555555555555,0.15527950310559005,0.0997239475500345,0.01926089720870578,0.025147910169401756,0.005887012960695975
M,PFE,194,122,0.08762886597938144,0.11475409836065574,0.027125232381274303,0.011206572322335042,0.01329261253832237,0.002086040215987328
M,PG,154,145,0.08441558441558442,0.12413793103448276,0.03972234661889834,0.007899982721333446,0.00881880102178267,0.0009188183004492246
M,TSLA,202,143,0.09900990099009901,0.1048951048951049,0.005885203905005881,0.026062334093727813,0.027071764089853914,0.001009429996126101
M,UNH,174,137,0.06896551724137931,0.18248175182481752,0.11351623458343821,0.013400328133793929,0.01980860810264827,0.006408279968854342
