signal,ticker,n,actual_miscov,roc_auc,spearman_abs_error,pvalue_abs_error
M,AAPL,623,0.11235955056179775,0.6384138465512788,0.15508751467802226,0.00010159704822327589
M,AMZN,623,0.1043338683788122,0.540612076095947,0.03164434341580646,0.43043175426956426
M,BA,623,0.11235955056179775,0.5918625678119349,0.11854561611281388,0.0030425285343508414
M,BAC,623,0.09630818619582665,0.6220100651272942,0.08204992990994366,0.040628273918295585
M,CAT,623,0.1187800963081862,0.5660783734554227,0.05614421467554812,0.16161886247825066
M,CVX,623,0.1043338683788122,0.5049627791563275,0.0022067798742506028,0.9561618831915849
M,DIS,623,0.09951845906902086,0.6392386866770169,0.1486088285325065,0.00019725081330499087
M,GME,623,0.08025682182985554,0.7182024432809773,0.0947000982201399,0.018065160224547513
M,GOOGL,623,0.11075441412520064,0.5384816616962277,0.03649477198322979,0.36314855320035877
M,GS,623,0.11075441412520064,0.5801417883116203,0.062034497935627646,0.12192125613126767
M,JNJ,623,0.11556982343499198,0.5966676749344626,0.0792224726333286,0.04809516433355205
M,JPM,623,0.11717495987158909,0.5495890410958905,0.03868160080527722,0.3350893866809071
M,KO,623,0.11396468699839486,0.505460298020004,-0.04872417021653175,0.22458252283856336
M,MCD,623,0.10754414125200643,0.5604128637388597,0.014399264982019738,0.7198180285703133
M,MSFT,623,0.11396468699839486,0.5091600326597265,0.07099258954965293,0.07661913266989709
M,NFLX,623,0.10272873194221509,0.5902001341681574,0.07142914623532477,0.07482022149812667
M,NVDA,623,0.10272873194221509,0.6300592576028622,0.11623606699055913,0.003669300393656855
M,PFE,623,0.09470304975922954,0.5279931482149296,0.10417906963307515,0.009263644574283676
M,PG,623,0.11075441412520064,0.5208235232564222,0.023434055871903336,0.5593422338558903
M,TSLA,623,0.09951845906902086,0.5382669196710942,0.08301515953443961,0.038314798350109806
M,UNH,623,0.11075441412520064,0.5955239889080731,0.11861875617931258,0.0030243752212265255
M,V,623,0.11235955056179775,0.5237018858176182,0.029414314999247446,0.4636410748444459
M,WMT,623,0.12199036918138041,0.5590541710766863,0.08474837625354041,0.03444064320411179
M,XOM,623,0.11075441412520064,0.5781143724166797,0.04307587263970235,0.28304169147696834
W,AAPL,623,0.11235955056179775,0.5841901317489021,0.14260820463846363,0.0003561466730303141
W,AMZN,623,0.1043338683788122,0.5172318720705817,0.07352948209186053,0.0666404815986431
W,BA,623,0.11235955056179775,0.5295143373805218,0.10457450380849687,0.008998804598823656
W,BAC,623,0.09630818619582665,0.6063943161634103,0.05972370810626794,0.13647749875961215
W,CAT,623,0.1187800963081862,0.5383129030670013,0.07120841894890306,0.07572541972811743
W,CVX,623,0.1043338683788122,0.46495726495726486,0.053438829344510407,0.18282578169302582
W,DIS,623,0.09951845906902086,0.5948047840837214,0.11834308148556942,0.003093316053792008
W,GME,623,0.08025682182985554,0.6681675392670158,0.1524937575616913,0.00013293084066681902
W,GOOGL,623,0.11075441412520064,0.5044210746612253,0.09963946948495102,0.012839225870956504
W,GS,623,0.11075441412520064,0.5417909276408727,0.12546086103554954,0.0017032795264098068
W,JNJ,623,0.11556982343499198,0.5675539423270821,0.09938991127278685,0.013067115687953062
W,JPM,623,0.11717495987158909,0.545653798256538,0.07641428108902644,0.056617067343962844
W,KO,623,0.11396468699839486,0.4921922841396203,0.029501818970538947,0.4623117028869455
W,MCD,623,0.10754414125200643,0.530387630194352,0.06167618171276039,0.12409552599159285
W,MSFT,623,0.11396468699839486,0.5590936925903245,0.1763209698636202,9.561648167428693e-06
W,NFLX,623,0.10272873194221509,0.5581115831842576,0.054099189589502876,0.17746871083421512
W,NVDA,623,0.10272873194221509,0.620010621645796,0.16782155794109996,2.5502672004476195e-05
W,PFE,623,0.09470304975922954,0.4309562447409545,0.07448711139982925,0.06316277680589395
W,PG,623,0.11075441412520064,0.5304897190393972,0.1114147910571467,0.00536935222307378
W,TSLA,623,0.09951845906902086,0.5422344891035593,0.14335065617572024,0.0003314445728211316
W,UNH,623,0.11075441412520064,0.5419871291790926,0.03546350277950942,0.37687534621017754
W,V,623,0.11235955056179775,0.5357142857142857,0.03859328775240507,0.3361948021921356
W,WMT,623,0.12199036918138041,0.546076686231117,0.14096516021958247,0.0004170440982823316
W,XOM,623,0.11075441412520064,0.5930387694239523,0.10964980505587932,0.0061509486135389
