signal_bin,n,miscoverage_rate,mean_abs_error,mean_interval_width,mean_signal,signal
0-10%,3399,0.0756104736687261,0.012357957185415908,0.060342934397453966,0.016656859860743344,M
10-20%,985,0.09746192893401015,0.013384529508115584,0.0570657740521765,0.15891708967851098,M
20-30%,1073,0.10624417520969245,0.013194166443007948,0.05698503391294577,0.2589779434607021,M
30-40%,1127,0.09849157054125998,0.013114615158834095,0.05562179753237845,0.35801538006506944,M
40-50%,1208,0.10513245033112582,0.01294047913960918,0.055958858019260795,0.45776766004415015,M
50-60%,1244,0.10048231511254019,0.012892650855852403,0.05565880267893699,0.5581323687031083,M
60-70%,1236,0.10679611650485436,0.014113933212812513,0.05729525655272146,0.6591963322545846,M
70-80%,1324,0.10725075528700906,0.014158516066703666,0.05670736573193688,0.7572885196374622,M
80-90%,1397,0.12455261274158912,0.014585457759072336,0.05635085802053875,0.8589954664757814,M
90-100%,1959,0.16947422154160285,0.01776436734262835,0.057733238142481866,0.9649566105155691,M
0-10%,3999,0.08702175543885972,0.012610502155401852,0.05817313744215891,0.019579894973743423,W
10-20%,1287,0.11266511266511267,0.012868362797672376,0.055662358844845945,0.1502460502460502,W
20-30%,1056,0.09185606060606061,0.012142422741562542,0.05463184812722756,0.256021148989899,W
30-40%,928,0.09051724137931035,0.01266927522054079,0.055328032305435614,0.35412176724137934,W
40-50%,907,0.10253583241455347,0.013363172159072598,0.055726652178886095,0.4525817714075708,W
50-60%,880,0.09886363636363636,0.013026930318506661,0.057224005929530815,0.5554166666666667,W
60-70%,912,0.11513157894736842,0.012905288673030868,0.05682903697040446,0.654404239766082,W
70-80%,1110,0.11531531531531532,0.013839882696023645,0.057074890253306615,0.7583558558558559,W
80-90%,1267,0.09707971586424625,0.013685839147838705,0.05770265591889511,0.8590699815837937,W
90-100%,2606,0.15349194167306215,0.018241400332814378,0.06032382173134524,0.9643323100537221,W
