disagreement_bin,n,miscoverage_rate,mean_abs_error,mean_interval_width,mean_disagreement
0-10%,1826,0.07338444687842278,0.012103163774312184,0.0593344727949118,0.04751734209565533
10-20%,1501,0.0832778147901399,0.01173469955902345,0.0569375320821384,0.15876082611592268
20-30%,1399,0.09363831308077197,0.012150901127813944,0.05702773568054911,0.2600786275911365
30-40%,1410,0.08794326241134752,0.011990509222843624,0.05717937020448747,0.35929078014184396
40-50%,1413,0.08563340410474168,0.012490739378160694,0.05694705442342891,0.45785562632696386
50-60%,1349,0.08450704225352113,0.01273882874325594,0.05801043807271969,0.5582653817642699
60-70%,1433,0.09141660851360782,0.013044067144821274,0.0566587576876978,0.659292858804373
70-80%,1387,0.1254506128334535,0.014941794033472651,0.05569297389212047,0.760081711127133
80-90%,1552,0.14368556701030927,0.01572183991327344,0.05787121348713571,0.8587306701030928
90-100%,1682,0.19797859690844233,0.020744831535095508,0.058569433566203234,0.960919540229885
