feature_set,model,n,actual_miscov,mean_predicted_miscov,brier,roc_auc
D,lightgbm,14952,0.10767790262172285,0.10286509206134777,0.09496510446713652,0.5946279949088991
D,logistic,14952,0.10767790262172285,0.10318226116428056,0.09502933989890576,0.5964244979893505
K,lightgbm,14952,0.10767790262172285,0.10057589562095016,0.0963744062843317,0.508268616082776
K,logistic,14952,0.10767790262172285,0.1008997610853373,0.09617030529355869,0.5058381694755552
K+D,lightgbm,14952,0.10767790262172285,0.10214243477343767,0.09524596538995138,0.5923904663831864
K+D,logistic,14952,0.10767790262172285,0.10296386326653628,0.09506594195477079,0.5952580512108123
M,lightgbm,14952,0.10767790262172285,0.1004393928856947,0.0961046083527721,0.5544041559321845
M,logistic,14952,0.10767790262172285,0.10169070080785726,0.09583797616292963,0.5578179074905659
M+D,lightgbm,14952,0.10767790262172285,0.10213068517009209,0.09537765034719815,0.5978825797393186
M+D,logistic,14952,0.10767790262172285,0.10326352017207106,0.0950642768083658,0.5969101916052703
M+K,lightgbm,14952,0.10767790262172285,0.10026810548490453,0.09631568101428646,0.5527004574355862
M+K,logistic,14952,0.10767790262172285,0.10154490413709082,0.09586409027839739,0.5556547948802223
M+K+D,lightgbm,14952,0.10767790262172285,0.10170243712411915,0.095277154856573,0.5988743807208545
M+K+D,logistic,14952,0.10767790262172285,0.10321019536918889,0.09509270429050534,0.5963465905546488
