feature_set,model,ticker,n,actual_miscov,brier,roc_auc
D,logistic,AAPL,623,0.11235955056179775,0.09667811428829828,0.6514208214931543
D,logistic,AMZN,623,0.1043338683788122,0.09215737784261843,0.6195340501792116
D,logistic,BA,623,0.11235955056179775,0.09803652526420667,0.6139628003099975
D,logistic,BAC,623,0.09630818619582665,0.08415652871296087,0.6552397868561278
D,logistic,CAT,623,0.1187800963081862,0.10765282798558778,0.4757421355782011
D,logistic,CVX,623,0.1043338683788122,0.093513580331518,0.5506479183898538
D,logistic,DIS,623,0.09951845906902086,0.08781552646077313,0.6248921856132482
D,logistic,GME,623,0.08025682182985554,0.06907817134410703,0.7604712041884817
D,logistic,GOOGL,623,0.11075441412520064,0.09905642018100495,0.5527912938837442
D,logistic,GS,623,0.11075441412520064,0.09677780477880933,0.6168707162664155
D,logistic,JNJ,623,0.11556982343499198,0.10349476460826977,0.5238707400685623
D,logistic,JPM,623,0.11717495987158909,0.1023899754286084,0.5901245330012453
D,logistic,KO,623,0.11396468699839486,0.1021845500495426,0.5171080832823025
D,logistic,MCD,623,0.10754414125200643,0.0956566810882101,0.5805728551487168
D,logistic,MSFT,623,0.11396468699839486,0.09878505159557965,0.6271177791385997
D,logistic,NFLX,623,0.10272873194221509,0.08845448251318161,0.6758301654740608
D,logistic,NVDA,623,0.10272873194221509,0.08919495071684733,0.6657815295169945
D,logistic,PFE,623,0.09470304975922954,0.08618041705236087,0.5616961173217935
D,logistic,PG,623,0.11075441412520064,0.09808495146981298,0.5876628472767227
D,logistic,TSLA,623,0.09951845906902086,0.09096553519808159,0.5315968029440515
D,logistic,UNH,623,0.11075441412520064,0.09664346833059394,0.608564851148433
D,logistic,V,623,0.11235955056179775,0.10106901479956688,0.5286489279256006
D,logistic,WMT,623,0.12199036918138041,0.1056687451003895,0.6066463003944963
D,logistic,XOM,623,0.11075441412520064,0.09700869243280828,0.6070737194579606
D,lightgbm,AAPL,623,0.11235955056179775,0.0975187892107365,0.6232627228106433
D,lightgbm,AMZN,623,0.1043338683788122,0.09274582782089942,0.5932037496553626
D,lightgbm,BA,623,0.11235955056179775,0.09808559800014735,0.6216739860501163
