ticker,n_low,n_high,low_disagreement_miscov,high_disagreement_miscov,difference_high_minus_low
AAPL,126,148,0.06349206349206349,0.21621621621621623,0.15272415272415274
AMZN,135,157,0.037037037037037035,0.1464968152866242,0.10945977824958716
BA,137,148,0.08029197080291971,0.16891891891891891,0.08862694811599921
BAC,157,129,0.07006369426751592,0.20930232558139536,0.13923863131387942
CAT,130,143,0.13846153846153847,0.0979020979020979,-0.040559440559440565
CVX,138,126,0.08695652173913043,0.15079365079365079,0.06383712905452035
DIS,143,150,0.06993006993006994,0.17333333333333334,0.1034032634032634
GME,157,131,0.03821656050955414,0.22900763358778625,0.19079107307823212
GOOGL,127,149,0.08661417322834646,0.1342281879194631,0.04761401469111663
GS,136,147,0.08088235294117647,0.17687074829931973,0.09598839535814326
JNJ,133,150,0.11278195488721804,0.14,0.027218045112781974
JPM,142,145,0.09154929577464789,0.19310344827586207,0.10155415250121418
KO,140,151,0.12857142857142856,0.16556291390728478,0.03699148533585622
MCD,142,139,0.07746478873239436,0.15827338129496402,0.08080859256256966
MSFT,142,149,0.04929577464788732,0.19463087248322147,0.14533509783533416
NFLX,146,139,0.0547945205479452,0.2158273381294964,0.1610328175815512
NVDA,138,163,0.043478260869565216,0.1901840490797546,0.1467057882101894
PFE,146,124,0.0821917808219178,0.12096774193548387,0.03877596111356607
PG,138,146,0.057971014492753624,0.1506849315068493,0.09271391701409568
TSLA,137,137,0.10948905109489052,0.11678832116788321,0.007299270072992692
UNH,142,139,0.08450704225352113,0.19424460431654678,0.10973756206302565
V,126,142,0.07142857142857142,0.13380281690140844,0.062374245472837014
WMT,133,149,0.07518796992481203,0.19463087248322147,0.11944290255840945
XOM,136,159,0.08823529411764706,0.16981132075471697,0.0815760266370699
