feature_set,model,year,n,actual_miscov,mean_predicted_miscov,brier,roc_auc
D,lightgbm,2024,6048,0.10218253968253968,0.10275499442005172,0.09143400049459627,0.5787017170579366
D,lightgbm,2025,6000,0.10333333333333333,0.10208009791377526,0.08974421168315265,0.6318527401367071
D,lightgbm,2026,2904,0.128099173553719,0.10471627505721325,0.11310610774875736,0.5523285812566886
D,logistic,2024,6048,0.10218253968253968,0.10349002351110272,0.09131869687408316,0.5806969550680328
D,logistic,2025,6000,0.10333333333333333,0.10171438524409397,0.0903623338187496,0.6332950593596355
D,logistic,2026,2904,0.128099173553719,0.10557410305392899,0.11239986520712336,0.5534359127894137
K,lightgbm,2024,6048,0.10218253968253968,0.10052162339268102,0.09201909567125158,0.49531593627635034
K,lightgbm,2025,6000,0.10333333333333333,0.10088947090869131,0.0928538727451189,0.5240761781988248
K,lightgbm,2026,2904,0.128099173553719,0.10004104255969846,0.11271880016283897,0.5041193157689107
K,logistic,2024,6048,0.10218253968253968,0.1007657103003557,0.0917276993600152,0.5158637141137274
K,logistic,2025,6000,0.10333333333333333,0.10117791468871794,0.09270263062479106,0.5057234080825039
K,logistic,2026,2904,0.128099173553719,0.10060424370492575,0.11258729176004519,0.4902702398545924
K+D,lightgbm,2024,6048,0.10218253968253968,0.10217802324081657,0.09160859541611072,0.5750023839749205
K+D,lightgbm,2025,6000,0.10333333333333333,0.10146314173665269,0.0900463850727569,0.6315952152536275
K+D,lightgbm,2026,2904,0.128099173553719,0.10347181465291508,0.11356424896603791,0.5483616164704683
K+D,logistic,2024,6048,0.10218253968253968,0.10315493631987176,0.09129076484019699,0.5812038477355218
K+D,logistic,2025,6000,0.10333333333333333,0.10171169636409401,0.09043524810618701,0.6311320302194507
K+D,logistic,2026,2904,0.128099173553719,0.10515304769769358,0.11249584356649418,0.5514797686388422
M,lightgbm,2024,6048,0.10218253968253968,0.09954155017202375,0.09177473617293112,0.5382099030318201
M,lightgbm,2025,6000,0.10333333333333333,0.10082807240628527,0.09233334100398573,0.5778537594435783
M,lightgbm,2026,2904,0.128099173553719,0.10150622332947518,0.11291406807604905,0.540160143708913
M,logistic,2024,6048,0.10218253968253968,0.10148353967478883,0.09196329958917247,0.5337016574585636
M,logistic,2025,6000,0.10333333333333333,0.10150248708621053,0.09179496361112358,0.5922564156373666
M,logistic,2026,2904,0.128099173553719,0.10251101515450954,0.11226088223349426,0.5370494232957924
M+D,lightgbm,2024,6048,0.10218253968253968,0.1014571248369364,0.09130544349921467,0.5842070601417273
M+D,lightgbm,2025,6000,0.10333333333333333,0.10185456658214401,0.09051418440809922,0.6378168845185275
M+D,lightgbm,2026,2904,0.128099173553719,0.10410396492994545,0.11390709340890538,0.5473753163804379
M+D,logistic,2024,6048,0.10218253968253968,0.10313360164110377,0.0914393640707123,0.5767899181700609
M+D,logistic,2025,6000,0.10333333333333333,0.10230290976675532,0.09032108774240707,0.635758933924931
M+D,logistic,2026,2904,0.128099173553719,0.10551882654506844,0.11241365925777368,0.5566220124343881
M+K,lightgbm,2024,6048,0.10218253968253968,0.09957227861948229,0.09212615543974852,0.5309751351415783
M+K,lightgbm,2025,6000,0.10333333333333333,0.10113337892776046,0.09234185841904266,0.5830190970140304
M+K,lightgbm,2026,2904,0.128099173553719,0.09992951052104027,0.1132513512092825,0.5375054145645416
M+K,logistic,2024,6048,0.10218253968253968,0.10123858139987182,0.09194001896107436,0.5339256021026659
M+K,logistic,2025,6000,0.10333333333333333,0.10161276009435473,0.09183921084459457,0.5884804832713755
M+K,logistic,2026,2904,0.128099173553719,0.10204266728141484,0.11235240292646444,0.533432281846133
M+K+D,lightgbm,2024,6048,0.10218253968253968,0.10108356650243246,0.09165924069197791,0.5748805032571057
M+K+D,lightgbm,2025,6000,0.10333333333333333,0.10178244044968755,0.08995659564262545,0.6443683295359156
M+K+D,lightgbm,2026,2904,0.128099173553719,0.10282602857265577,0.11380487529429899,0.5555985535680918
M+K+D,logistic,2024,6048,0.10218253968253968,0.10300852504952282,0.09142043223764586,0.5775161365302437
M+K+D,logistic,2025,6000,0.10333333333333333,0.10241707795109135,0.0903854320077484,0.6345417616021105
M+K+D,logistic,2026,2904,0.128099173553719,0.10526887532852976,0.1124665111335618,0.5551807827549304
