feature_set,model,n_features,features,train_rows,validation_rows,test_rows,train_miscov,validation_miscov,brier,log_loss,mean_predicted_miscov,actual_miscov,roc_auc,pr_auc,brier_improvement_vs_constant,logloss_improvement_vs_constant
baseline,constant_baseline,0,,33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09612624633600426,0.34186417336084163,0.10113004592700023,0.10767790262172285,0.5,0.10767790262172285,0.0,0.0
M,logistic,1,miscoverage_pct,33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09583797616292963,0.34072437023709523,0.10169070080785729,0.10767790262172285,0.5578179074905659,0.13277105880616932,0.0002882701730746312,0.0011398031237463968
M,lightgbm,1,miscoverage_pct,33096,12024,14952,0.10113004592700024,0.09314703925482369,0.0961046083527721,0.3413377791418288,0.10043939288569473,0.10767790262172285,0.5544041559321845,0.1305873794986974,2.1637983232167257e-05,0.000526394219012849
K,logistic,1,ks_stat_pct,33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09617030529355869,0.34212073730819936,0.10089976108533733,0.10767790262172285,0.5058381694755552,0.10901859454258211,-4.405895755442424e-05,-0.00025656394735773524
K,lightgbm,1,ks_stat_pct,33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09637440628433169,0.3431452294766154,0.1005758956209502,0.10767790262172285,0.508268616082776,0.10912694297404035,-0.00024815994832742827,-0.001281056115773782
D,logistic,1,disagreement_pct,33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09502933989890576,0.3379088850969451,0.1031822611642806,0.10767790262172285,0.5964244979893505,0.15956598409511907,0.0010969064370985049,0.003955288263896517
D,lightgbm,1,disagreement_pct,33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09496510446713655,0.3370141768261071,0.10286509206134781,0.10767790262172285,0.5946279949088991,0.15714220852195865,0.0011611418688677183,0.004849996534734502
M+K,logistic,2,"miscoverage_pct,ks_stat_pct",33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09586409027839739,0.34087268499586126,0.10154490413709086,0.10767790262172285,0.5556547948802223,0.13040882382000452,0.0002621560576068771,0.000991488364980364
M+K,lightgbm,2,"miscoverage_pct,ks_stat_pct",33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09631568101428646,0.3420936826799325,0.10026810548490456,0.10767790262172285,0.5527004574355862,0.12947763449531147,-0.0001894346782821965,-0.00022950931909088146
M+D,logistic,2,"miscoverage_pct,disagreement_pct",33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09506427680836578,0.3379066061928703,0.1032635201720711,0.10767790262172285,0.5969101916052703,0.15484722251198574,0.0010619695276384844,0.003957567167971354
M+D,lightgbm,2,"miscoverage_pct,disagreement_pct",33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09537765034719815,0.3380250960188903,0.10213068517009213,0.10767790262172285,0.5978825797393186,0.15321920448325235,0.0007485959888061111,0.0038390773419513247
K+D,logistic,2,"ks_stat_pct,disagreement_pct",33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09506594195477079,0.3380496540958579,0.10296386326653632,0.10767790262172285,0.5952580512108123,0.1557692941841237,0.0010603043812334734,0.003814519264983718
K+D,lightgbm,2,"ks_stat_pct,disagreement_pct",33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09524596538995138,0.338094307760179,0.10214243477343771,0.10767790262172285,0.5923904663831864,0.15414690373176507,0.000880280946052886,0.003769865600662614
M+K+D,logistic,3,"miscoverage_pct,ks_stat_pct,disagreement_pct",33096,12024,14952,0.10113004592700024,0.09314703925482369,0.09509270429050534,0.3379727491610635,0.10321019536918896,0.10767790262172285,0.5963465905546488,0.15348684951349673,0.0010335420454989225,0.003891424199778115
M+K+D,lightgbm,3,"miscoverage_pct,ks_stat_pct,disagreement_pct",33096,12024,14952,0.10113004592700024,0.09314703925482369,0.095277154856573,0.3376723924454018,0.10170243712411918,0.10767790262172285,0.5988743807208545,0.15550823108738768,0.0008490914794312687,0.004191780915439813
