ticker,n_low,n_high,low_miscov,high_miscov,difference_high_minus_low_miscov,low_abs_error,high_abs_error,difference_high_minus_low_error
AAPL,128,152,0.1171875,0.19736842105263158,0.08018092105263158,0.011455209392155986,0.015247959443758282,0.0037927500516022963
AMZN,138,141,0.057971014492753624,0.1773049645390071,0.11933395004625347,0.01220965268746584,0.01858662065086024,0.006376967963394398
BA,145,146,0.05517241379310345,0.1917808219178082,0.13660840812470476,0.014908861500255926,0.020539062628928975,0.005630201128673049
BAC,141,134,0.07092198581560284,0.208955223880597,0.13803323806499418,0.011658654055718105,0.014803536240203391,0.0031448821844852863
CAT,140,159,0.07857142857142857,0.12578616352201258,0.04721473495058401,0.011861059413729209,0.016344322756240766,0.004483263342511557
CVX,148,156,0.13513513513513514,0.14102564102564102,0.005890505890505882,0.011287810712975502,0.011745152295221595,0.00045734158224609335
DIS,132,132,0.06818181818181818,0.15151515151515152,0.08333333333333334,0.010970631578625009,0.015506110641746841,0.004535479063121833
GME,146,132,0.02054794520547945,0.1893939393939394,0.16884599418845994,0.021037493717048505,0.04818945622513736,0.027151962508088854
GOOGL,143,155,0.09090909090909091,0.14193548387096774,0.05102639296187683,0.013456329309109677,0.014866982603271652,0.0014106532941619756
GS,157,156,0.07643312101910828,0.19230769230769232,0.11587457128858404,0.011974706219396867,0.01625516343534203,0.0042804572159451625
JNJ,137,162,0.10218978102189781,0.12962962962962962,0.027439848607731812,0.008394195873121506,0.008865572316925053,0.0004713764438035468
JPM,154,147,0.09740259740259741,0.17687074829931973,0.07946815089672232,0.010424408820737722,0.012560078150536932,0.0021356693297992103
KO,134,155,0.08208955223880597,0.16129032258064516,0.07920077034183919,0.007630121852222689,0.007980262164782974,0.0003501403125602846
MCD,148,139,0.05405405405405406,0.1510791366906475,0.09702508263659343,0.007582492835790388,0.009524544585786445,0.0019420517499960568
MSFT,145,141,0.08275862068965517,0.1702127659574468,0.08745414526779163,0.009196528936372628,0.015058230645831753,0.0058617017094591255
NFLX,157,135,0.050955414012738856,0.18518518518518517,0.13422977117244633,0.01226876312524411,0.020486401146444552,0.008217638021200442
NVDA,143,158,0.04895104895104895,0.11392405063291139,0.06497300168186243,0.019011884837303022,0.023588251592415184,0.004576366755112162
PFE,141,127,0.05673758865248227,0.12598425196850394,0.06924666331602167,0.01088969780708805,0.013884379713329956,0.002994681906241907
PG,146,153,0.0958904109589041,0.13071895424836602,0.034828543289461916,0.00883946628001689,0.009016936311252716,0.00017747003123582544
TSLA,149,158,0.09395973154362416,0.0949367088607595,0.0009769773171353358,0.022307571511791725,0.030143829394680396,0.007836257882888671
UNH,152,128,0.1118421052631579,0.203125,0.0912828947368421,0.015395837437100063,0.018775739083006924,0.0033799016459068604
V,137,156,0.11678832116788321,0.1346153846153846,0.0178270634475014,0.008810080079927575,0.009759893643111167,0.0009498135631835925
WMT,150,140,0.09333333333333334,0.18571428571428572,0.09238095238095238,0.008524942644677376,0.011920309541653566,0.00339536689697619
XOM,148,155,0.12162162162162163,0.12903225806451613,0.007410636442894497,0.011658341380475265,0.012227103767156754,0.0005687623866814893
