novelty_bin,n,miscoverage_rate,mean_abs_error,mean_novelty_pct
0-10%,1949,0.08004104669061057,0.01178729063609053,0.04753719856336583
10-20%,1510,0.08543046357615894,0.012727161052513277,0.15672185430463575
20-30%,1450,0.09241379310344827,0.013071920792674658,0.2579540229885057
30-40%,1421,0.09359605911330049,0.013758067558412383,0.3586089608257096
40-50%,1335,0.08239700374531835,0.01197072023070434,0.4584394506866417
50-60%,1290,0.09069767441860466,0.013912714900071276,0.5592248062015504
60-70%,1341,0.10141685309470544,0.013571655366688423,0.6579045488441462
70-80%,1352,0.1242603550295858,0.014818762800960082,0.7579388560157791
80-90%,1461,0.1218343600273785,0.013817400955236113,0.8603353867214237
90-100%,1843,0.1893651654910472,0.018511919561129738,0.960191716404413
