test_year,architecture,n_train,n_test,brier,logloss,auc,pr_auc,brier_improvement
2021,constant,25104,6048,0.07849629140154722,0.29412759587804455,0.5,0.08531746031746032,
2021,D,25104,6048,0.07777424814479723,0.2893670118087202,0.6050275843997153,0.1291264605680807,0.0007220432567499879
2021,PS,25104,6048,0.07741096231246693,0.2873155960181073,0.6107751517597404,0.12795331041997843,0.0010853290890802947
2021,D+PS,25104,6048,0.07756348624197233,0.2877275702397554,0.6170837607268773,0.13714064587209018,0.0009328051595748899
2022,constant,31152,6024,0.10288767934144227,0.36027635105916017,0.5,0.11620185922974767,
2022,D,31152,6024,0.10198455025984952,0.35751160664262155,0.5888782601695824,0.15591133037736535,0.000903129081592749
2022,PS,31152,6024,0.10201253184221744,0.35715571666978674,0.5797568959965654,0.15198960080699955,0.0008751474992248348
2022,D+PS,31152,6024,0.10189460398859694,0.35738073885282506,0.5938593431362026,0.15973837201161512,0.0009930753528453323
2023,constant,37176,6000,0.06630908474077951,0.26084723710208574,0.5,0.07,
2023,D,37176,6000,0.0661849799476213,0.2583027241743161,0.5772307561017239,0.10008349296849885,0.00012410479315820566
2023,PS,37176,6000,0.06575721559007819,0.2566511052131178,0.5768068356374808,0.10411169343664105,0.0005518691507013229
2023,D+PS,37176,6000,0.06591081280027317,0.2569121135526699,0.5843294504181601,0.10741016190251079,0.00039827194050634507
2024,constant,43176,6048,0.09174672237086126,0.32988234266637106,0.5,0.10218253968253968,
2024,D,43176,6048,0.09118341309190296,0.327857938588947,0.5806969550680328,0.14217358379739384,0.0005633092789582989
2024,PS,43176,6048,0.09129680548251891,0.3281057576199119,0.5714216536442036,0.14271908321493235,0.00044991688834235266
2024,D+PS,43176,6048,0.09118208324880539,0.3275396480859216,0.5835177933928136,0.1457432591842749,0.0005646391220558711
2025,constant,49224,6000,0.09266502570404624,0.3323979490727056,0.5,0.10333333333333333,
2025,D,49224,6000,0.09047260021377206,0.32233339950342427,0.6332950593596355,0.18637593239512312,0.00219242549027418
2025,PS,49224,6000,0.09092744805607098,0.3241681753106628,0.6213101091257945,0.18142042710006423,0.0017375776479752608
2025,D+PS,49224,6000,0.09009758753471465,0.32100864956570535,0.6364781448614942,0.2026355203000964,0.0025674381693315818
2026,constant,55224,2904,0.11245150166389442,0.38666885847272253,0.5,0.128099173553719,
2026,D,55224,2904,0.11218849610686259,0.3873560760837166,0.5534359127894137,0.15221166534726785,0.00026300555703183404
2026,PS,55224,2904,0.11177040320261365,0.3844181999436741,0.5606494929419559,0.15148291292951788,0.0006810984612807686
2026,D+PS,55224,2904,0.1118966966388351,0.38618509396712414,0.5633949956683484,0.15934073350628108,0.0005548050250593212
