ps_decile,n,mean_ps,actual_miscoverage,mean_disagreement
1,6290,0.030924748277689457,0.06279809220985691,0.2711367249602543
2,6020,0.12386766334440752,0.0712624584717608,0.3232392026578073
3,5635,0.2250310559006211,0.07346938775510205,0.36083703046435966
4,5361,0.32467823167319526,0.07554560716284275,0.39375427469999374
5,6123,0.4334966519679896,0.09325494038869835,0.4428656976427677
6,6038,0.5505796621397814,0.09423650215303081,0.4932814397703434
7,5249,0.6585286086238649,0.09811392646218327,0.5539563091382486
8,6372,0.7663187905419544,0.12005649717514125,0.6168811466834065
9,5703,0.8752907826290257,0.13817289146063474,0.7006137120813607
10,5361,0.9684387241186346,0.2008953553441522,0.8158583597587514
