year,n,ps_auc,miscoverage
2016,960,0.5626513317191283,0.13958333333333334
2017,6024,0.579781938323842,0.09345949535192563
2018,6024,0.6478836725029296,0.14226427622841967
2019,6048,0.592794032166763,0.06960978835978836
2020,6072,0.643681412476223,0.1164361001317523
2021,6048,0.6107751517597404,0.08531746031746032
2022,6024,0.5797568959965654,0.11620185922974767
2023,6000,0.5768068356374808,0.07
2024,6048,0.5714216536442036,0.10218253968253968
2025,6000,0.6213101091257945,0.10333333333333333
2026,2904,0.5606494929419559,0.128099173553719
