config,test_year,brier_D,brier_D_PS,improvement_D_to_DPS,auc_D,auc_D_PS,n_test
w40_s0.25_n20,2021,0.07777424814479723,0.07761435101373801,0.0001598971310592251,0.6050275843997153,0.6133102610884102,6048
w40_s0.25_n20,2022,0.10198455025984952,0.10193566342533934,4.8886834510181165e-05,0.5888782601695824,0.5923836803692175,6024
w40_s0.25_n20,2023,0.0661849799476213,0.06606553116223685,0.00011944878538446002,0.5772307561017239,0.5794098822324629,6000
w40_s0.25_n20,2024,0.09118341309190296,0.09113119859055377,5.221450134919314e-05,0.5806969550680328,0.5829927229165549,6048
w40_s0.25_n20,2025,0.09047260021377206,0.09012443172079243,0.00034816849297962527,0.6332950593596355,0.6387152236479194,6000
w40_s0.25_n20,2026,0.11218849610686259,0.11207401779692291,0.00011447830993967234,0.5534359127894137,0.5552163490122135,2904
w40_s0.25_n30,2021,0.07777424814479723,0.07764102643224907,0.00013322171254816217,0.6050275843997153,0.6126257307728957,6048
w40_s0.25_n30,2022,0.10198455025984952,0.10192149950020886,6.305075964066487e-05,0.5888782601695824,0.5927652409573898,6024
w40_s0.25_n30,2023,0.0661849799476213,0.0660822835296359,0.00010269641798540952,0.5772307561017239,0.5787674944529784,6000
w40_s0.25_n30,2024,0.09118341309190296,0.09117036511661483,1.3047975288130176e-05,0.5806969550680328,0.5819050343590385,6048
w40_s0.25_n30,2025,0.09047260021377206,0.09011223055926765,0.0003603696545044083,0.6332950593596355,0.6389441179997601,6000
w40_s0.25_n30,2026,0.11218849610686259,0.11208996137104046,9.85347358221228e-05,0.5534359127894137,0.5549116470468328,2904
w40_s0.25_n50,2021,0.07777424814479723,0.07758536764648452,0.00018888049831271292,0.6050275843997153,0.6145612630109805,6048
w40_s0.25_n50,2022,0.10198455025984952,0.10195826752939853,2.628273045099383e-05,0.5888782601695824,0.5922597134270688,6024
w40_s0.25_n50,2023,0.0661849799476213,0.0660261602391516,0.00015881970846970406,0.5772307561017239,0.5817430448882062,6000
w40_s0.25_n50,2024,0.09118341309190296,0.09118283771141228,5.75380490683286e-07,0.5806969550680328,0.5820163361881433,6048
w40_s0.25_n50,2025,0.09047260021377206,0.09004975636490634,0.0004228438488657199,0.6332950593596355,0.6401254646840149,6000
w40_s0.25_n50,2026,0.11218849610686259,0.11206138126096638,0.0001271148458962118,0.5534359127894137,0.5557089682175679,2904
w40_s0.50_n20,2021,0.07777424814479723,0.07741521080450048,0.0003590373402967556,0.6050275843997153,0.6194351258638955,6048
w40_s0.50_n20,2022,0.10198455025984952,0.10194954610740423,3.500415244529764e-05,0.5888782601695824,0.5923966942148761,6024
w40_s0.50_n20,2023,0.0661849799476213,0.06596626753481914,0.00021871241280216336,0.5772307561017239,0.5828249274620243,6000
w40_s0.50_n20,2024,0.09118341309190296,0.09118272930808156,6.837838213979985e-07,0.5806969550680328,0.5814692139438693,6048
w40_s0.50_n20,2025,0.09047260021377206,0.08995825640116152,0.0005143438126105349,0.6332950593596355,0.6411585621777192,6000
w40_s0.50_n20,2026,0.11218849610686259,0.11196196739657766,0.0002265287102849317,0.5534359127894137,0.5598006803241095,2904
w40_s0.50_n30,2021,0.07777424814479723,0.077439531868465,0.00033471627633223366,0.6050275843997153,0.6181771174897847,6048
w40_s0.50_n30,2022,0.10198455025984952,0.10191770074243277,6.684951741675604e-05,0.5888782601695824,0.5932111999570677,6024
w40_s0.50_n30,2023,0.0661849799476213,0.06597945994203147,0.00020552000558983485,0.5772307561017239,0.5814213176309951,6000
w40_s0.50_n30,2024,0.09118341309190296,0.09124146047552847,-5.804738362551187e-05,0.5806969550680328,0.5794590760905195,6048
w40_s0.50_n30,2025,0.09047260021377206,0.08996907271758996,0.000503527496182099,0.6332950593596355,0.6415878702482312,6000
w40_s0.50_n30,2026,0.11218849610686259,0.11200732443231197,0.00018117167455061756,0.5534359127894137,0.5586848553568092,2904
