config,auc,n
w40_s0.25_n20,0.5999336667641393,58152
w40_s0.25_n30,0.6016424783265195,58152
w40_s0.25_n50,0.6049880240531393,58152
w40_s0.50_n20,0.606335699231774,58152
w40_s0.50_n30,0.6084067631921083,58152
w40_s0.50_n50,0.6093952707588075,58152
w40_s1.00_n20,0.6001256906561334,58152
w40_s1.00_n30,0.6051410100588186,58152
w40_s1.00_n50,0.6097772108748611,58152
w60_s0.25_n20,0.6008864925625065,58152
w60_s0.25_n30,0.6050525832947784,58152
w60_s0.25_n50,0.6070199435324588,58152
w60_s0.50_n20,0.6057020373464416,58152
w60_s0.50_n30,0.6094726585110997,58152
w60_s0.50_n50,0.614765531132061,58152
w60_s1.00_n20,0.5989309078090477,58152
w60_s1.00_n30,0.6010244890922483,58152
w60_s1.00_n50,0.608417626161094,58152
w120_s0.25_n20,0.6000471836594897,58152
w120_s0.25_n30,0.6022676417071235,58152
w120_s0.25_n50,0.6041556922577671,58152
w120_s0.50_n20,0.6043694049410946,58152
w120_s0.50_n30,0.6072612593979057,58152
w120_s0.50_n50,0.6123505312964106,58152
w120_s1.00_n20,0.5946609227757187,58152
w120_s1.00_n30,0.6008080017165752,58152
w120_s1.00_n50,0.6092211935381441,58152
